iter	Passed	Remaining
614	2209	1382
615	2210	1378
616	2212	1373
617	2214	1368
618	2215	1363
619	2217	1359
620	2219	1354
621	2220	1349
622	2222	1344
623	2223	1339
624	2225	1335
625	2227	1330
626	2229	1326
627	2231	1321
628	2232	1317
629	2234	1312
630	2257	1320
631	2258	1315
632	2260	1310
633	2262	1305
634	2263	1301
635	2265	1296
636	2266	1291
637	2268	1286
638	2269	1282
639	2270	1277
640	2272	1272
641	2280	1271
642	2281	1266
643	2283	1262
644	2284	1257
645	2286	1252
646	2287	1248
647	2289	1243
648	2291	1239
649	2325	1252
650	2327	1247
651	2328	1243
652	2330	1238
653	2332	1233
654	2333	1229
655	2335	1224
656	2337	1220
657	2339	1215
658	2340	1211
659	2342	1206
660	2343	1202
661	2345	1197
662	2346	1192
663	2350	1189
664	2351	1184
665	2353	1180
666	2355	1175
667	2389	1187
668	2390	1182
669	2392	1178
670	2395	1174
671	2396	1169
672	2398	1165
673	2399	1160
674	2401	1156
675	2414	1157
676	2416	1152
677	2417	1148
678	2420	1144
679	2422	1139
680	2423	1135
681	2425	1130
682	2427	1126
683	2430	1123
684	2432	1118
685	2472	1131
686	2474	1127
687	2475	1122
688	2477	1118
689	2478	1113
690	2480	1109
691	2481	1104
692	2485	1100
693	2486	1096
694	2488	1091
695	2489	1087
696	2491	1083
697	2492	1078
698	2495	1074
699	2497	1070
700	2500	1066
701	2503	1062
702	2505	1058
703	2552	1073
704	2553	1068
705	2555	1064
706	2556	1059
707	2558	1055
708	2560	1050
709	2561	1046
710	2565	1042
711	2568	1038
712	2569	1034
713	2571	1029
714	2572	1025
715	2575	1021
716	2577	1017
717	2585	1015
718	2587	1011
719	2591	1007
720	2614	1011
721	2616	1007
722	2617	1002
723	2618	998
724	2620	993
725	2621	989
726	2623	984
727	2624	980
728	2625	976
729	2628	972
730	2630	968
731	2632	963
732	2633	959
733	2634	954
734	2636	950
735	2637	946
736	2639	941
737	2647	939
738	2649	935
739	2694	946
740	2734	955
741	2735	951
742	2736	946
743	2738	942
744	2739	937
745	2743	934
746	2744	929
747	2746	925
748	2747	920
749	2749	916
750	2750	912
751	2752	907
752	2753	903
753	2755	898
754	2757	894
755	2760	890
756	2761	886
757	2763	882
758	2768	879
759	2795	882
760	2797	878
761	2798	874
762	2799	869
763	2801	865
764	2802	861
765	2807	857
766	2809	853
767	2811	849
768	2812	844
769	2814	840
770	2816	836
771	2818	832
772	2825	829
773	2864	836
774	2866	832
775	2867	827
776	2871	824
777	2874	820
778	2875	815
779	2876	811
780	2878	807
781	2879	802
782	2881	798
783	2882	794
784	2883	789
785	2886	785
786	2887	781
787	2889	777
788	2891	773
789	2893	769
790	2907	768
791	2909	764
792	2910	759
793	2912	755
794	2916	752
795	2918	747
796	2919	743
797	2920	739
798	2922	735
799	2923	730
800	2925	726
801	2926	722
802	2930	718
803	2932	714
804	2933	710
805	2934	706
806	2936	702
807	2937	698
808	2939	693
809	2940	689
810	2951	687
811	2952	683
812	2953	679
813	2955	675
814	2956	671
815	2958	667
816	2965	664
817	2967	660
818	2968	656
819	2970	651
820	2971	647
821	2972	643
822	2986	642
823	2988	638
824	2989	634
825	2990	630
826	2994	626
827	2996	622
828	2997	618
829	2999	614
830	3000	610
831	3001	606
832	3003	602
833	3004	598
834	3006	594
835	3009	590
836	3011	586
837	3012	582
838	3013	578
839	3015	574
840	3016	570
841	3041	570
842	3043	566
843	3044	562
844	3045	558
845	3047	554
846	3048	550
847	3050	546
848	3051	542
849	3053	538
850	3055	534
851	3056	531
852	3058	527
853	3059	523
854	3060	519
855	3062	515
856	3063	511
857	3065	507
858	3066	503
859	3073	500
860	3074	496
861	3076	492
862	3082	489
863	3083	485
864	3084	481
865	3086	477
866	3088	473
867	3089	469
868	3091	465
869	3092	462
870	3094	458
871	3095	454
872	3096	450
873	3098	446
874	3099	442
875	3101	439
876	3103	435
877	3104	431
878	3105	427
879	3107	423
880	3108	419
881	3109	416
882	3114	412
883	3116	408
884	3118	405
885	3119	401
886	3121	397
887	3122	393
888	3124	390
889	3126	386
890	3127	382
891	3129	378
892	3130	375
893	3134	371
894	3135	367
895	3137	364
896	3138	360
897	3139	356
898	3141	352
899	3142	349
900	3144	345
901	3145	341
902	3157	339
903	3158	335
904	3160	331
905	3161	328
906	3163	324
907	3165	320
908	3167	317
909	3169	313
910	3170	309
911	3171	306
912	3173	302
913	3174	298
914	3176	295
915	3177	291
916	3179	287
917	3181	284
918	3182	280
919	3184	276
920	3185	273
921	3220	272
922	3223	268
923	3224	265
924	3226	261
925	3229	258
926	3231	254
927	3233	250
928	3235	247
929	3237	243
930	3238	240
931	3240	236
932	3241	232
933	3244	229
934	3246	225
935	3248	222
936	3249	218
937	3279	216
938	3280	213
939	3282	209
940	3288	206
941	3290	202
942	3294	199
943	3295	195
944	3297	191
945	3299	188
946	3301	184
947	3303	181
948	3304	177
949	3307	174
950	3309	170
951	3311	166
952	3313	163
953	3314	159
954	3316	156
955	3317	152
956	3320	149
957	3322	145
958	3325	142
959	3327	138
960	3329	135
961	3331	131
962	3333	128
963	3334	124
964	3337	121
965	3340	117
966	3341	114
967	3343	110
968	3344	106
969	3345	103
970	3376	100
971	3377	97
972	3382	93
973	3384	90
974	3387	86
975	3389	83
976	3391	79
977	3393	76
978	3394	72
979	3396	69
980	3397	65
981	3399	62
982	3403	58
983	3406	55
984	3407	51
985	3409	48
986	3432	45
987	3436	41
988	3438	38
989	3439	34
990	3441	31
991	3442	27
992	3444	24
993	3445	20
994	3448	17
995	3451	13
996	3452	10
997	3454	6
998	3455	3
999	3457	0
